ds,actual_price,predicted_price
2025-03-25,87392.87,82669.96078866231
2025-03-26,86909.17,83411.49992858602
2025-03-27,87232.01,83372.75356611468
2025-03-28,84424.38,83709.95067028783
2025-03-29,82648.54,83519.97726002248
2025-03-30,82389.99,84093.4864917243
2025-03-31,82550.01,84657.35762535907
2025-04-01,85158.34,85012.65722923887
2025-04-02,82516.29,85754.1963691619
2025-04-03,83213.09,85715.45000669024
2025-04-04,83889.87,86052.64711086368
2025-04-05,83537.99,85862.67370059836
2025-04-08,76322.42,87355.35367130519
2025-04-10,79607.3,88058.14644975195
2025-04-12,85276.9,88205.37014465388
2025-04-13,83760.0,88778.87937685243
2025-04-14,84591.58,89342.75051098643
2025-04-15,83643.99,89698.05011536239
2025-04-16,84030.38,90439.58925578288
2025-04-17,84947.91,90400.84289380813
2025-04-18,84474.69,90738.03999847984
2025-04-19,85077.01,90548.06658871136
2025-04-20,85179.24,91121.57582090865
2025-04-21,87516.23,91685.44695927105
2025-04-23,93691.08,92782.28571252614
2025-04-24,93980.47,92743.53935478066
2025-04-25,94638.68,93080.73646368121
2025-04-26,94628.0,92890.7630581414
2025-04-27,93749.3,93464.27229456759
2025-04-28,95011.18,94028.1434329302
2025-04-29,94256.82,94383.44304153601
2025-04-30,94172.0,95124.98218618681
2025-05-01,96489.91,95086.23582844046
2025-05-02,96887.14,95423.43291284805
2025-05-03,95856.42,95233.45948281628
2025-05-04,94277.62,95806.96869474884
2025-05-05,94733.68,96370.83980861747
2025-05-06,96834.02,96726.13939272947
2025-05-07,97030.5,97467.67851288676
2025-05-09,102971.99,97766.1292150552
2025-05-10,104809.53,97576.15578502246
2025-05-11,104118.0,98149.6649969545
2025-05-12,102791.32,98713.5361108249
2025-05-13,104103.72,99068.83569493736
2025-05-14,103507.82,99798.50894987854
2025-05-15,103763.71,99747.89670242419
2025-05-16,103463.9,100073.22792161559
2025-05-17,103126.65,99871.38862636802
2025-05-18,106454.26,100433.03197308557
2025-05-19,105573.74,100985.03722173908
2025-05-20,106849.99,101328.47094063478
2025-05-22,111696.21,102007.5319481232
2025-05-23,107318.3,102332.86316731434
2025-05-24,107761.91,102131.02387206769
2025-05-25,109004.19,102692.66721878463
2025-05-26,109434.79,103144.95481609125
2025-05-27,108938.17,103388.67088364242
2025-05-28,107781.78,104018.62648723813
2025-05-29,105589.75,103868.29658843744
2025-05-30,103985.48,104093.91015628308
2025-05-31,104591.88,103792.35320968983
2025-06-01,105642.93,104254.27890506152
2025-06-02,105857.99,104706.56650236869
2025-06-03,105376.89,104950.28256991712
2025-06-04,104696.86,105580.23817351372
2025-06-05,101508.68,105429.90827471306
2025-06-06,104288.44,105647.04003486286
2025-06-07,105552.15,105337.00128057248
2025-06-08,105734.0,105790.44516824871
2025-06-09,110263.02,106234.25095785905
2025-06-10,110274.39,106469.485217713
2025-06-11,108645.12,107090.95901361278
2025-06-12,105671.73,106932.14730711562
2025-06-13,106066.59,107149.27906726518
2025-06-14,105414.64,106839.24031297636
2025-06-15,105594.01,107292.68420065042
2025-06-16,106794.53,107735.22015439198
2025-06-17,104551.17,107969.1845783753
2025-06-18,104886.78,108589.38853840322
2025-06-19,104658.59,108429.30699603561
2025-06-20,103297.99,108645.16892031636
2025-06-21,102120.01,108333.86033015438
2025-06-22,100963.87,108786.03438195853
2025-06-23,105333.93,109228.57033569939
2025-06-24,106083.0,109462.53475968343
